DataName,Data 2025-03-15 17-10-51_002,FrameRate,120,StartTime,2025.03.15 20:11:56:517,FrameCount,557,LengthUnits,mm,CoordinateSpace,World

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
342,2.850000,0.149537,0.984293,0.093660,0.005868,336.747986,1712.655640,-275.804504,0.134403,-0.980405,0.209575,1.011524,-8.791260,-5.797269,-7.826221,13.120378,-8.181308,0.774926,4.113441,-1.610756,-76.362869,9.387187,124.978279,1750.952637,-303.864716,377.841187,1712.767944,-404.283630,540.936829,1672.673218,-194.948486,,,,0.177593,0.940130,-0.025352,-0.289783,429.637238,1695.194702,-599.333923,0.236470,-1.433438,-0.097537,1.456082,-2.866114,-8.433995,12.012012,14.954441,4.041896,-2.581457,8.507065,19.564331,83.988213,-29.630354,574.953003,1666.164429,-648.892456,,,,380.782928,1711.293823,-468.642242,141.497757,1741.650757,-597.362244,340.273499,1737.707397,-676.965820,308.731537,1741.270752,-204.563293,2627.895996,37.154819,1375.138184,2654.797363,53.856815,1305.495728,2662.825684,37.829338,1330.280273,2455.626953,133.455032,1465.895386,,,,828.896606,762.484009,-78.939041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.005188,1295.130005,-398.097473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,2.858333,0.165173,0.978330,0.124708,0.006010,334.883942,1703.925537,-275.845215,0.026396,-1.014609,0.137498,1.024224,-12.960791,-4.104495,-8.649317,16.113338,-7.453227,0.721226,3.949061,87.369743,-6.443917,-19.725607,124.953804,1750.689819,-302.743469,376.419281,1710.846680,-404.125580,537.305847,1652.294678,-196.108337,,,,0.207703,0.934031,-0.052816,-0.285755,428.050415,1682.940674,-597.991760,0.133323,-1.480283,-0.022705,1.486449,-12.377636,-5.621480,8.979785,16.292435,3.969300,-1.472443,8.990705,-8.711472,133.081635,58.036762,572.041992,1644.187378,-646.004456,,,,380.393860,1710.403076,-468.409912,142.110840,1741.713989,-598.528015,339.980591,1723.098511,-678.873230,306.901855,1728.251709,-203.205734,2627.920898,37.196880,1375.126831,2654.827637,53.827988,1305.575928,2662.754395,37.969059,1330.386841,2455.614746,133.411377,1465.881348,,,,828.953247,762.620483,-78.942535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.116028,1294.999268,-398.031769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,2.866667,0.174810,0.971294,0.161164,0.007494,332.938660,1695.298828,-276.925476,-0.081211,-1.023311,0.051947,1.027842,-12.912890,-1.044130,-10.266064,16.529520,-8.817595,0.798208,2.550467,-163.724152,9.237856,-167.831345,124.205025,1748.450073,-302.837677,376.230072,1710.677002,-404.099030,533.450012,1633.556030,-198.523163,,,,0.232103,0.925960,-0.079090,-0.287177,425.178375,1672.991943,-597.355103,0.013154,-1.422407,0.054170,1.423499,-14.420215,6.945118,9.224999,18.473709,4.390497,-0.128157,7.657640,50.543629,161.314301,-159.967743,566.942017,1626.242798,-645.382263,,,,380.313263,1710.420776,-468.402496,141.752686,1741.323853,-597.683044,336.595581,1710.526245,-679.692078,305.174011,1714.757324,-201.814499,2627.900635,37.159328,1375.123413,2654.812988,53.840294,1305.505859,2662.864990,37.783592,1330.172729,2455.568115,133.418304,1465.892334,,,,828.809753,762.447876,-79.037270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.872192,1294.841553,-397.656738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,2.875000,0.181326,0.963936,0.194548,0.009958,331.127930,1687.692871,-278.466766,-0.159009,-1.002437,-0.028469,1.015369,-9.335743,2.504883,-9.649951,13.658407,-8.160105,0.561035,1.792670,78.898766,-28.460846,-90.935654,123.949669,1745.665771,-303.575745,376.246674,1710.982910,-404.208466,529.469238,1617.592041,-201.186203,,,,0.249551,0.917216,-0.103274,-0.292872,420.975830,1665.191528,-597.324341,-0.168406,-1.318433,0.068562,1.330912,-21.787207,12.476949,1.727051,25.166235,4.655771,0.852419,5.924224,31.832827,117.669113,-208.009918,560.128113,1612.487793,-646.605530,,,,380.262787,1710.767090,-468.508881,139.442001,1740.001099,-595.210571,329.924438,1698.667725,-678.956543,302.162292,1702.229736,-201.950668,2627.942139,37.197533,1375.101074,2654.806396,53.818512,1305.463623,2662.700928,37.826309,1330.270630,2455.623535,133.419739,1465.911621,,,,828.713501,762.539246,-79.308372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.883392,1294.823364,-397.701416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,2.883333,0.180540,0.958638,0.219509,0.015316,328.818390,1682.143555,-280.201447,-0.215698,-0.933003,-0.093966,0.962211,-6.802734,8.332028,-7.859619,13.321918,-6.257665,-0.129055,-0.141891,228.292740,-82.810806,-232.147217,122.224792,1741.759521,-306.505798,376.203979,1711.595947,-404.299500,525.776917,1607.679565,-202.014771,,,,0.258846,0.908921,-0.121557,-0.303457,416.437866,1661.025391,-597.629150,-0.308188,-1.112080,0.065977,1.155879,-16.773926,24.762310,-0.310254,29.910414,4.211383,2.048847,3.566113,-53.326546,143.571396,-282.973297,553.033508,1604.708252,-649.789795,,,,380.002991,1711.968506,-468.634064,136.695450,1739.328369,-589.595520,320.517548,1686.675903,-676.430664,296.890717,1689.627930,-203.855133,2627.918213,37.170803,1375.135132,2654.812744,53.813526,1305.542114,2662.810791,37.798817,1330.230591,2455.638672,133.402512,1465.896606,,,,828.939331,762.501587,-79.075958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.358063,1294.989990,-397.832428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,2.891667,0.171319,0.954714,0.241992,0.024706,326.189453,1679.162598,-283.151215,-0.253403,-0.803862,-0.176323,0.861103,-4.524609,15.496873,-9.882861,18.928711,-5.820814,-0.715078,-2.363857,52.422176,-70.322662,-266.635986,119.255325,1737.349365,-313.186584,377.115784,1714.355225,-404.728943,521.898682,1603.820068,-201.908585,,,,0.259079,0.902606,-0.134361,-0.316430,411.876343,1659.612549,-597.616638,-0.426266,-0.853975,0.041221,0.955340,-14.169287,30.972652,-2.970703,34.189163,3.766431,2.501324,0.997133,-53.394211,54.297207,-308.277588,547.138489,1602.313599,-653.367981,,,,379.691620,1712.849121,-468.555878,132.114090,1738.029541,-581.345703,310.390533,1675.878052,-672.759644,290.396027,1677.221191,-207.634567,2627.906494,37.141483,1375.135864,2654.827881,53.869995,1305.540161,2662.752686,38.004280,1330.500000,2455.598145,133.429306,1465.917603,,,,828.999207,762.563477,-79.227913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.763489,1295.199951,-398.106567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.635925,869.687256,-308.323853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,2.900000,0.158551,0.953671,0.253516,0.033218,323.450806,1676.973633,-286.272339,-0.274395,-0.646831,-0.250250,0.745861,-2.518945,18.843748,-8.871240,20.979296,-3.127084,-0.741277,-3.308721,323.247498,-3.143992,-113.383621,115.069901,1731.984985,-321.273346,376.930878,1715.170654,-404.977875,519.503296,1603.950928,-201.504944,,,,0.254623,0.897482,-0.148074,-0.328279,408.066833,1659.244751,-596.461426,-0.479608,-0.568682,0.036724,0.744830,-6.401073,34.235157,-0.539649,34.832615,4.211266,1.959770,0.012724,53.380192,-64.986504,-118.129074,543.523254,1602.160767,-655.426575,302.826660,1664.565430,-667.678833,379.149597,1714.062378,-468.374878,127.060539,1735.531860,-571.492615,,,,284.916748,1665.236328,-212.406616,2627.889648,37.158840,1375.142700,2654.862061,53.924786,1305.591797,2662.884521,37.790787,1330.196533,2455.632080,133.383881,1465.866211,,,,829.248718,762.815247,-78.716873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.763550,1295.098145,-398.221649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.821716,860.591797,-302.684753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,2.908333,0.145574,0.954645,0.257010,0.037519,322.015503,1676.831543,-288.185822,-0.262159,-0.443203,-0.270249,0.581542,1.468212,24.435352,-2.399854,24.596775,-1.007564,-0.053969,-3.241273,254.342468,82.477036,8.093748,112.951614,1727.355469,-326.728394,375.914581,1716.652222,-405.448700,518.936340,1607.901001,-200.581299,281.454285,1649.027588,-219.363388,0.246113,0.893985,-0.171302,-0.332978,406.607666,1658.746460,-594.828186,-0.445693,-0.341909,0.060652,0.564998,4.069777,27.212694,2.871387,27.664755,6.085803,-0.434408,0.043894,224.944427,-287.301331,3.740351,543.380249,1606.411377,-655.831238,298.542419,1650.119385,-661.214600,378.673309,1715.257080,-467.944000,123.781799,1732.526489,-565.157288,,,,,,,2627.920166,37.170086,1375.121094,2654.836670,53.825401,1305.576172,2662.870605,37.841328,1330.243042,2455.559082,133.436005,1465.865967,,,,828.919983,762.646667,-78.938072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.697754,1295.031860,-397.716278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,2.916667,0.119226,0.949690,0.287481,0.035067,322.754059,1672.369629,-290.815643,-0.200973,-0.367778,-0.296371,0.513310,7.342382,9.050978,-3.134619,12.068829,-7.440497,3.207727,-5.439387,-771.951965,391.403412,-263.773712,112.067276,1723.453979,-327.762543,375.327454,1717.664307,-405.870361,521.946411,1616.401855,-200.343491,281.674927,1631.958252,-229.286072,0.232905,0.894773,-0.195619,-0.326910,409.065643,1659.622681,-592.754822,-0.285842,-0.133638,0.109666,0.334053,19.182127,24.992579,5.881640,32.049595,5.882866,-3.344598,-0.687900,-24.352396,-349.222778,-87.815178,548.116150,1615.864868,-654.715698,301.862000,1636.055054,-654.683838,378.188019,1716.434204,-467.583923,123.488968,1728.555786,-565.808655,,,,,,,2627.887695,37.154175,1375.130981,2654.848877,53.905972,1305.598389,2662.813232,37.882824,1330.305542,2455.661377,133.412933,1465.897827,,,,828.677246,762.493225,-79.229149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.071259,1292.704712,-393.793945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.571930,752.606262,-356.649078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,2.925000,0.119516,0.966151,0.227193,0.025545,325.838745,1683.433105,-287.114105,-0.071510,0.030967,-0.165908,0.183298,15.535547,47.849411,15.655519,52.687897,15.161858,0.564170,-0.255585,2712.282227,-317.226837,622.056213,112.772400,1720.014404,-325.234009,375.035034,1718.445190,-406.218506,528.980896,1631.318481,-200.116608,,,,0.209120,0.914489,-0.136550,-0.318328,414.210632,1672.748047,-594.550598,-0.053456,0.281338,0.073887,0.295750,27.886377,49.797066,-4.293457,57.234882,-12.233176,-1.205686,-10.449230,-2173.925049,256.669434,-1171.359619,557.467102,1630.453491,-652.080139,,,,377.892914,1717.497559,-467.161194,125.299911,1724.271240,-570.905029,309.637573,1620.886108,-647.530090,289.671997,1618.445068,-235.759949,2627.884277,37.174690,1375.128052,2654.850586,53.921978,1305.621704,2662.741455,37.930462,1330.420166,2455.640625,133.414886,1465.855469,,,,828.741882,762.450134,-79.093056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.505524,1292.897583,-394.605164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,2.933333,0.104523,0.975021,0.195581,0.012559,330.265442,1690.475952,-285.030914,0.097822,0.271523,-0.045110,0.292111,20.319872,28.866796,14.495799,38.161728,8.096100,2.976897,-3.217435,-847.890869,289.527313,-355.421967,114.579895,1717.372559,-319.996460,374.955200,1719.418213,-406.764099,538.023682,1650.983032,-200.684387,,,,0.182925,0.927306,-0.113951,-0.306034,420.356262,1682.643921,-594.576660,0.203514,0.552759,0.072957,0.593534,30.836426,32.570511,-0.111621,44.852379,-3.996769,-3.402448,-7.718010,988.368835,-263.611389,327.746368,567.517700,1649.630249,-649.299438,,,,378.135834,1718.420410,-466.594604,128.409256,1720.882202,-577.733704,321.888245,1611.492065,-643.839355,301.762817,1609.608154,-238.449051,2627.935059,37.200123,1375.098877,2654.792969,53.759556,1305.497681,2662.759521,37.977974,1330.430542,2455.711426,133.431366,1465.930908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.633392,1292.856079,-394.257812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,2.941667,0.086707,0.983179,0.160751,0.000894,334.487274,1698.308716,-283.222290,0.264877,0.512036,0.073202,0.581119,20.046532,28.861523,14.197412,37.900097,8.774891,2.717718,-3.932308,81.454918,-31.101549,-85.784706,116.773720,1714.268433,-314.824646,375.237946,1720.418823,-407.541077,545.922913,1672.946533,-201.487640,,,,0.155102,0.938038,-0.086755,-0.297491,425.178864,1694.196167,-594.461975,0.410695,0.838828,0.047988,0.935203,24.861622,34.328320,-2.996191,42.491302,-4.678983,-2.257266,-8.429399,-81.865707,137.421768,-85.366684,575.078308,1670.843506,-647.091736,,,,378.118286,1719.524170,-465.965668,131.625046,1719.569580,-582.860840,334.665100,1610.358643,-644.276123,314.891357,1608.058105,-237.154373,2627.950439,37.196575,1375.111084,2654.839600,53.856239,1305.628418,2662.747803,37.864376,1330.298218,2455.590088,133.401535,1465.901367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.712494,1293.071655,-393.348053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,2.950000,0.065656,0.989886,0.125607,-0.006231,337.495575,1706.094604,-281.794067,0.371521,0.702305,0.153402,0.809192,12.797312,22.832228,9.624022,27.887339,8.697810,1.763969,-4.840889,-9.249686,-114.449821,-109.029800,119.074600,1710.121094,-311.046509,375.787750,1721.215332,-408.131409,550.612061,1695.922607,-201.601730,,,,0.123200,0.945078,-0.065706,-0.295519,427.507874,1705.213867,-594.416016,0.501603,1.115229,0.009895,1.222882,10.908987,33.168159,-4.571192,35.214039,-2.681560,-0.827508,-8.908213,239.690765,171.570953,-57.457577,578.901917,1692.491821,-646.614929,,,,378.316315,1720.483765,-465.451477,132.817841,1715.299927,-584.235046,344.434387,1615.258301,-647.345459,325.066376,1613.671387,-231.984268,2627.928223,37.183517,1375.119141,2654.806885,53.826992,1305.477783,2662.875732,37.960243,1330.416870,2455.648682,133.410095,1465.871338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.567902,1293.124268,-394.367279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,2.958333,0.042904,0.994299,0.097352,-0.007182,337.954773,1712.365723,-281.385376,0.364816,0.959898,0.226326,1.051531,-0.804638,30.911135,8.750830,32.136002,6.896158,0.460000,-5.404956,-216.198227,-156.476349,-67.687965,120.151810,1704.635132,-310.168030,375.770721,1722.104126,-408.992981,550.591858,1716.565674,-200.817093,,,,0.090438,0.948574,-0.051684,-0.298928,427.072998,1714.919312,-594.994507,0.432177,1.327119,-0.053752,1.396750,-8.331156,25.426767,-7.637695,27.825583,-0.811471,0.423391,-8.584567,224.410706,150.107834,38.837467,578.432312,1712.868652,-648.444946,,,,378.003632,1721.444092,-464.999481,132.463593,1708.538818,-583.332581,347.505798,1623.407959,-651.114563,328.028351,1622.553711,-227.545776,2627.975342,37.222279,1375.096313,2654.841553,53.868702,1305.567139,2662.780273,37.910370,1330.397217,2455.675781,133.427536,1465.898682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.342529,1294.917358,-397.890503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,2.966667,0.019105,0.996919,0.075983,-0.003841,336.513092,1716.579102,-281.834564,0.256187,0.795527,0.126709,0.845311,-13.035496,-19.724413,-11.954004,26.492920,5.168155,-0.465747,-5.748452,-207.360413,-111.089592,-41.219498,119.905998,1697.330566,-311.655182,375.468811,1722.678711,-409.961975,547.280334,1734.232178,-199.626556,,,,0.057678,0.949561,-0.041615,-0.305410,424.876953,1723.266602,-596.031189,0.255992,1.212451,-0.035544,1.239691,-21.142090,-13.760160,2.184961,25.320032,0.186592,1.217223,-8.283980,119.767502,95.259926,36.070404,574.172424,1731.691895,-651.799316,,,,377.665039,1721.946167,-464.034180,132.162201,1700.024780,-581.871521,347.500122,1632.949097,-654.706482,327.652527,1633.790894,-222.551987,2627.958984,37.203426,1375.113770,2654.819092,53.833687,1305.553711,2662.842529,37.839367,1330.254883,2455.661133,133.393921,1465.899658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.193542,1295.048218,-397.829285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,2.975000,-0.005560,0.998295,0.058107,-0.000036,334.262146,1719.824951,-282.091888,0.095922,0.704355,0.070536,0.714348,-19.231789,-10.940630,-6.740771,23.130003,4.307950,-0.544050,-5.961454,-103.224617,-9.396317,-25.560320,120.142365,1689.087891,-312.858124,374.247162,1723.242554,-410.614014,542.126160,1750.570312,-198.329041,,,,0.026570,0.949429,-0.037926,-0.310549,421.741943,1730.114136,-596.494019,0.033256,1.139268,-0.046003,1.140681,-26.728416,-8.782039,-1.255078,28.162167,1.512072,0.921554,-7.410553,159.057632,-35.480381,104.811226,568.774963,1748.312744,-654.071716,,,,376.615112,1722.697754,-463.009186,131.580215,1690.081055,-580.341003,345.857330,1643.195557,-657.736267,323.965149,1645.533081,-218.581985,2627.988037,37.194481,1375.087646,2654.849854,53.898582,1305.621460,2662.640381,38.052532,1330.567017,2455.658203,133.412994,1465.904541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.330780,1294.843750,-398.258484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833.104797,763.972046,-76.026489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
